num_imputer__zip code (HigherEducationBySector),num_imputer__Distance to Allentown (Longitude),num_imputer__Distance to Reading (Longitude),num_imputer__Distance to Erie (Longitude),num_imputer__North,num_imputer__East,num_imputer__South,num_imputer__West,num_imputer__Central,cat_imputer__Institution,cat_imputer__Type (HigherEducationBySector),cat_imputer__County,cat_imputer__Address (HigherEducationBySector),cat_imputer__Sector and Type (HigherEducationBySector),cat_imputer__City (HigherEducationInstitutions)
15260.0,-4.491061000000002,-4.041060999999999,0.12253899999998907,0.0,0.0,1.0,1.0,0.0,329,1,1,127,9,136
19460.0,-0.07897040000000288,0.37102959999999996,4.534629599999988,0.0,1.0,1.0,0.0,0.0,346,1,12,51,4,136
15931.0,-3.2877519999999976,-2.8377519999999947,1.3258479999999935,0.0,0.0,1.0,1.0,1.0,227,2,9,189,2,136
18411.0,-0.21406849999999622,0.23593150000000662,4.399531499999995,1.0,1.0,0.0,0.0,0.0,57,1,31,152,4,136
15068.0,-4.274169799999996,-3.824169799999993,0.33943019999999535,0.0,0.0,1.0,1.0,0.0,250,0,55,119,8,136
16365.0,-1.621172783416723,-1.1711727857456253,2.992427212026545,1.0,0.0,0.0,1.0,0.0,209,2,52,200,7,136
19139.0,0.25480489999999634,0.7048048999999992,4.868404899999987,0.0,1.0,1.0,0.0,0.0,40,2,44,138,2,136
18901.0,0.3066560000000038,0.7566560000000067,4.920255999999995,0.0,1.0,1.0,0.0,0.0,79,1,7,168,4,136
19010.0,0.14205940000000794,0.5920594000000108,4.755659399999999,0.0,1.0,1.0,0.0,0.0,287,1,41,50,4,136
19131.0,0.2565244999999976,0.7065245000000004,4.870124499999989,0.0,1.0,1.0,0.0,0.0,274,1,44,126,4,136
15213.0,-4.471971600000003,-4.0219716000000005,0.14162839999998766,0.0,0.0,1.0,1.0,0.0,46,1,1,141,4,136
15904.0,-3.3519146000000006,-2.901914599999998,1.2616853999999904,0.0,0.0,1.0,1.0,1.0,337,0,9,135,8,136
18503.0,-0.1965282999999971,0.25347170000000574,4.417071699999994,1.0,1.0,0.0,0.0,0.0,166,2,31,107,2,136
